oscillation_time_s,interaction_time_s,converter_length_m,field_fwhm_microtesla,field_step_microtesla,scan_settings,single_swap_probability_worst_case,through_wall_probability_worst_case,neutron_survival,signal_rate_hz,dwell_time_s,field_settling_time_s,total_scan_time_s,known_resonance_time_s
1.0,0.10902083307165428,0.5451041653582713,0.5570083533698739,0.27850417668493693,3771,0.010047351170531753,0.00010094926554398579,0.9997518048650006,15.138631564109403,0.6605616866789964,2.0,10032.978120466494,0.4757963872431602
3.0,0.32644529798106536,1.6322264899053267,0.18602078645733405,0.09301039322866703,11290,0.010009615556437505,0.0001001924035876757,0.9992570036222203,15.017694149209351,0.6658811865952456,2.0,30097.798596660323,0.4796279509006416
10.0,1.087472723948987,5.437363619744935,0.05584107210648599,0.027920536053242996,37607,0.009997190139555133,9.994381068641837e-05,0.997527032043595,14.95449792677248,0.6686951343312819,2.0,100361.61791679652,0.4816548036144331
30.0,2.0,10.0,0.030370753798219133,0.015185376899109567,69146,0.0037663978753622027,1.4185752955532915e-05,0.9954566184648433,2.118195250123868,4.721000105828403,2.0,464730.2733176107,3.4004659298716104
100.0,2.0,10.0,0.03037509787332784,0.01518754893666392,69136,0.00033943247118552704,1.1521440249511365e-07,0.9954566184648433,0.017203640925934984,581.2723041042267,2.0,40325114.01654982,418.68001713481306
300.0,2.0,10.0,0.03037547969550964,0.01518773984775482,69135,3.771918231696296e-05,1.4227367146602913e-09,0.9954566184648433,0.00021244090184122715,87104.4444052327,2.0,6022104033.955763,50497.47749174345
414.0,2.0,10.0,0.030375502361061308,0.015187751180530654,69135,1.9806473053353728e-05,3.9229637481322733e-10,0.9954566184648433,5.857710340613881e-05,859806.1964131139,2.0,59442839659.02063,470182.2391940214
