oscillation_time_s,mean_velocity_m_s,fractional_velocity_sigma,field_sigma_microtesla,vertical_half_aperture_m,gravity_length_limit_m,converter_length_m,three_sigma_gravity_sag_m,mean_interaction_time_s,ensemble_peak_through_wall_probability,ensemble_worst_sampled_probability,field_fwhm_microtesla,field_step_microtesla,scan_settings,signal_rate_hz,dwell_time_s,total_scan_time_s,known_resonance_time_s
1.0,5.0,0.05,0.01,0.1,0.6069369670223397,0.5196702555565509,0.07331089800444457,0.10393405111131018,0.00011836348337979509,9.862234185260764e-05,0.39937115235306464,0.19968557617653232,5259,14.793351277891146,0.6759793512741855,14072.975408350942,0.5632367750850329
10.0,5.0,0.05,0.01,0.1,0.6069369670223397,0.6069369670223398,0.10000000000000005,0.12138739340446796,2.2171255302494543e-08,1.8434071216262984e-08,0.33975425800541104,0.16987712900270552,6181,0.0027651106824394477,3616.4917605315377,22365897.571845435,3006.8963510228414
100.0,5.0,0.05,0.01,0.1,0.6069369670223397,0.6069369670223398,0.10000000000000005,0.12138739340446796,2.2173468367991747e-12,1.8435911906163255e-12,0.3397559267414102,0.1698779633707051,6181,2.765386785924488e-07,32721123297.27271,202249263112804.62,22624093506.893246
1.0,50.0,0.05,0.01,0.1,6.069369670223397,5.255342650998874,0.07497472730342428,0.10510685301997748,0.00012377171371425068,0.00010311366255323831,0.3947312102449428,0.1973656051224714,5321,15.467049382985746,0.6465357258767354,14082.216597390108,0.5386260290503748
10.0,50.0,0.05,0.01,0.1,6.069369670223397,6.0693696702233995,0.10000000000000007,0.12138739340446798,2.2171255302494562e-08,1.8434071216263004e-08,0.33975425800541104,0.16987712900270552,6181,0.0027651106824394507,3616.4917605315336,22365897.57184541,3006.8963510228386
100.0,50.0,0.05,0.01,0.1,6.069369670223397,6.0693696702233995,0.10000000000000007,0.12138739340446798,2.2173468367991763e-12,1.8435911906163263e-12,0.3397559267414101,0.16987796337070504,6181,2.7653867859244897e-07,32721123297.27271,202249263112804.62,22624093506.893246
1.0,500.0,0.05,0.01,0.1,60.693696702233964,50.000000000000064,0.06786608996539809,0.10000000000000013,0.00010150274728389502,8.461479868473247e-05,0.4157307060449426,0.2078653530224713,5052,12.692219802709872,0.7878842436895818,14084.391199119767,0.6567966725098126
10.0,500.0,0.05,0.01,0.1,60.693696702233964,50.000000000000064,0.06786608996539809,0.10000000000000013,1.021928187946449e-08,8.519020018427082e-09,0.4158682800113285,0.20793414000566424,5050,0.0012778530027640624,7825.62624837871,39529512.55431249,6523.615597748844
100.0,500.0,0.05,0.01,0.1,60.693696702233964,50.000000000000064,0.06786608996539809,0.10000000000000013,1.0219974098030346e-12,8.519597210579629e-13,0.41586965518159524,0.20793482759079762,5050,1.2779395815869445e-07,153145516589.43658,773384858786754.8,106433835029.82266
1.0,1000.0,0.05,0.01,0.1,121.38739340446793,50.000000000000064,0.01696652249134952,0.050000000000000065,6.384033602179952e-06,5.35552174284749e-06,0.8480617955654582,0.4240308977827291,2477,0.8033282614271234,12.44821137281398,35788.21957046023,10.442718635425422
10.0,1000.0,0.05,0.01,0.1,121.38739340446793,50.000000000000064,0.01696652249134952,0.050000000000000065,6.394852982424218e-10,5.364597840253897e-10,0.8481305969063487,0.42406529845317437,2477,8.046896760380847e-05,479333.7556892349,1187314666.8422348,348721.94835058
100.0,1000.0,0.05,0.01,0.1,121.38739340446793,50.000000000000064,0.01696652249134952,0.050000000000000065,6.394961260298392e-14,5.3646886717497994e-14,0.8481312848485443,0.42406564242427214,2477,8.0470330076247e-09,38608247813075.34,9.563262983299258e+16,27170369258644.914
